,District,Latitude,Longitude,Total Cases,Active Cases,Recovereds,Deaths,Readmitteds
0,Rautahat,27.03243961,85.29121681,1856,1101,750,5,0
1,Kailali,28.76091877,80.82634991,1695,1160,530,5,0
2,Dailekh,28.89826774,81.67159209,1037,231,805,1,0
3,Mahottari,26.85777117,85.82059516,1256,904,344,8,0
4,Kapilvastu,27.62216856,82.9780085,1138,387,747,4,0
5,Sarlahi,26.96581113,85.5617024,1834,1202,628,4,0
6,Dang,27.97841875,82.43814156,814,254,559,1,0
7,Achham,29.09181279,81.31707255,902,344,556,2,0
8,Doti,29.17612357,80.88531019,946,409,537,0,0
9,Dhanusa,26.79587245,86.00721975,1556,963,580,13,0
10,Bajura,29.56558569,81.5497582,624,370,253,1,0
11,Palpa,27.82143756,83.61908522,593,35,556,2,0
12,Surkhet,28.6672745,81.55422455,753,200,551,2,0
13,Kanchanpur,28.83479468,80.38209033,675,192,483,0,0
14,Saptari,26.59685229,86.73725506,768,410,353,5,0
15,Banke,28.12605255,81.79981157,1023,601,415,7,0
16,Gulmi,28.08755407,83.30920208,403,50,350,3,0
17,Jhapa,26.57197501,87.95532113,587,262,322,3,0
18,Rupandehi,27.55443071,83.38330337,1034,713,311,10,0
19,Nawalparasi East,27.65376405,84.03113665,479,178,301,0,0
20,Arghakhanchi,27.90779334,83.06585909,384,63,320,1,0
21,Pyuthan,28.09437706,82.88362705,453,121,331,1,0
22,Dadeldhura,29.22747472,80.48540118,329,62,267,0,0
23,Baitadi,29.48338045,80.53566864,379,79,300,0,0
24,Kathmandu,27.7328855,85.35042992,4522,4391,110,21,0
25,Parsa,27.18232286,84.76011359,2313,2102,176,35,0
26,Morang,26.58315547,87.45387395,1598,1363,218,17,0
27,Salyan,28.37833876,82.12383472,314,121,193,0,0
28,Siraha,26.6852784,86.32651559,496,298,192,6,0
29,Baglung,28.33975247,83.2731612,318,97,220,1,0
30,Bardiya,28.33694949,81.46126455,327,126,200,1,0
31,Syangja,28.01170542,83.77998363,338,144,192,2,0
32,Bara,27.13540854,85.06475248,870,716,141,13,0
33,Bajhang,29.70710581,81.14117632,387,279,107,1,0
34,Tanahun,27.94887859,84.23370592,289,127,161,1,0
35,Dhading,27.9527537,84.98055863,224,98,125,1,0
36,Sunsari,26.68353642,87.1812749,730,605,118,7,0
37,Chitwan,27.54995278,84.36548036,744,657,81,6,0
38,Gorkha,28.28884046,84.78048444,176,73,100,3,0
39,Kaski,28.30661651,84.01052734,328,219,104,5,0
40,Lamjung,28.23682669,84.41790176,185,92,93,0,0
41,Nawalparasi West,27.32,83.4,248,121,125,2,0
42,Parbat,28.19805363,83.67436777,113,21,92,0,0
43,Udayapur,26.89706243,86.62430815,128,45,82,1,0
44,Lalitpur,27.58871791,85.3453208,684,648,30,6,0
45,Rolpa,28.32571386,82.61625263,88,37,51,0,0
46,Kalikot,29.15,81.76873832,89,35,54,0,0
47,Sindhupalchowk,27.94899924,85.75847357,100,62,35,3,0
48,Jumla,29.2728938,82.20976273,155,87,68,0,0
49,Bhaktapur,27.66294721,85.43855603,518,479,31,8,0
50,Myagdi,28.52877381,83.47535629,52,10,41,1,0
51,Makwanpur,27.43988382,85.11702565,505,480,21,4,0
52,Illam,26.8560453,87.9452083,96,68,28,0,0
53,Rukum West,28.63,82.49,74,43,31,0,0
54,Ramechhap,27.45389329,86.17446896,71,51,20,0,0
55,Nuwakot,27.87213818,85.20553279,83,62,21,0,0
56,Jajarkot,28.86798437,82.1977929,57,45,12,0,0
57,Okhaldhunga,27.32850363,86.41723305,38,19,19,0,0
58,Sindhuli,27.21085578,85.90028129,79,62,17,0,0
59,Darchula,29.89271094,80.74136106,56,43,13,0,0
60,Kavrepalanchowk,27.52503681,85.616478,234,209,23,2,0
61,Dhankuta,26.97426594,87.36675537,39,24,15,0,0
62,Khotang,27.10524151,86.76344684,38,23,15,0,0
63,Taplejung,27.61858869,87.85666093,18,11,7,0,0
64,Rukum East,28.37,82.37,15,7,8,0,0
65,Rasuwa,28.21369528,85.45366507,16,5,11,0,0
66,Dolakha,27.82352203,86.19576072,51,40,9,2,0
67,Mugu,29.6346044,82.35940378,13,9,4,0,0
68,Solukhumbu,27.75423434,86.69879175,15,8,7,0,0
69,Terhathum,27.13350032,87.55401564,28,20,8,0,0
70,Panchthar,27.05953098,87.82000369,19,12,7,0,0
71,Bhojpur,27.21832031,87.06666799,19,13,6,0,0
72,Sankhuwasabha,27.52454419,87.29855621,29,23,6,0,0
73,Dolpa,29.25286365,83.07811054,6,3,2,1,0
74,Humla,30.03513341,81.89063467,5,3,2,0,0
75,Manang,28.69469101,84.2357415,3,2,1,0,0
76,Mustang,29.02209022,83.88796267,1,-6807,6808,0,0
