,Date,Total Cases,Active Cases,Recovered Cases,Deaths
0,1/22/2020,0,0,0,0
1,1/23/2020,0,0,0,0
2,1/24/2020,0,0,0,0
3,1/25/2020,1,1,0,0
4,1/26/2020,1,1,0,0
5,1/27/2020,1,1,0,0
6,1/28/2020,1,1,0,0
7,1/29/2020,1,1,0,0
8,1/30/2020,1,1,0,0
9,1/31/2020,1,1,0,0
10,2/1/2020,1,1,0,0
11,2/2/2020,1,1,0,0
12,2/3/2020,1,1,0,0
13,2/4/2020,1,1,0,0
14,2/5/2020,1,1,0,0
15,2/6/2020,1,1,0,0
16,2/7/2020,1,1,0,0
17,2/8/2020,1,1,0,0
18,2/9/2020,1,1,0,0
19,2/10/2020,1,1,0,0
20,2/11/2020,1,1,0,0
21,2/12/2020,1,0,1,0
22,2/13/2020,1,0,1,0
23,2/14/2020,1,0,1,0
24,2/15/2020,1,0,1,0
25,2/16/2020,1,0,1,0
26,2/17/2020,1,0,1,0
27,2/18/2020,1,0,1,0
28,2/19/2020,1,0,1,0
29,2/20/2020,1,0,1,0
30,2/21/2020,1,0,1,0
31,2/22/2020,1,0,1,0
32,2/23/2020,1,0,1,0
33,2/24/2020,1,0,1,0
34,2/25/2020,1,0,1,0
35,2/26/2020,1,0,1,0
36,2/27/2020,1,0,1,0
37,2/28/2020,1,0,1,0
38,2/29/2020,1,0,1,0
39,3/1/2020,1,0,1,0
40,3/2/2020,1,0,1,0
41,3/3/2020,1,0,1,0
42,3/4/2020,1,0,1,0
43,3/5/2020,1,0,1,0
44,3/6/2020,1,0,1,0
45,3/7/2020,1,0,1,0
46,3/8/2020,1,0,1,0
47,3/9/2020,1,0,1,0
48,3/10/2020,1,0,1,0
49,3/11/2020,1,0,1,0
50,3/12/2020,1,0,1,0
51,3/13/2020,1,0,1,0
52,3/14/2020,1,0,1,0
53,3/15/2020,1,0,1,0
54,3/16/2020,1,0,1,0
55,3/17/2020,1,0,1,0
56,3/18/2020,1,0,1,0
57,3/19/2020,1,0,1,0
58,3/20/2020,1,0,1,0
59,3/21/2020,1,0,1,0
60,3/22/2020,1,0,1,0
61,3/23/2020,2,1,1,0
62,3/24/2020,2,1,1,0
63,3/25/2020,3,2,1,0
64,3/26/2020,3,2,1,0
65,3/27/2020,4,3,1,0
66,3/28/2020,5,4,1,0
67,3/29/2020,5,4,1,0
68,3/30/2020,5,4,1,0
69,3/31/2020,5,4,1,0
70,4/1/2020,6,5,1,0
71,4/2/2020,6,5,1,0
72,4/3/2020,9,8,1,0
73,4/4/2020,9,8,1,0
74,4/5/2020,9,8,1,0
75,4/6/2020,9,8,1,0
76,4/7/2020,9,8,1,0
77,4/8/2020,9,8,1,0
78,4/9/2020,9,8,1,0
79,4/10/2020,9,8,1,0
